Asylum,Latitude,Longitude,Country,Year,
0,41.89193,12.51133,Italy,2008,
31,35.689487,139.691706,Japan,2008,
14,51.169392,71.427776,Kazakhstan,2008,
5,42.874722,74.586667,Kyrgyzstan,2008,
100,37.566536,126.977969,South Korea,2008,
0,19.432608,-99.133208,Mexico,2008,
38,3.139003,101.686855,Malaysia,2008,
0,47.92123,106.9167,Mongolia,2008,
0,33.97159,-6.849813,Morocco,2008,
0,52.374031,4.88969,Netherlands,2008,
76,59.91273,10.74609,Norway,2008,
13,-41.288889,174.777222,New Zealand,2008,
5,33.68442,73.0479,Pakistan,2008,
5,14.599512,120.984222,Philippines,2008,
15,52.22977,21.01178,Poland,2008,
19,44.43281,26.10626,Romania,2008,
1139,-25.747868,28.229271,South Africa,2008,
5,55.755826,37.6173,Russian Federation,2008,
6,24.713552,46.675296,Saudi Arabia,2008,
0,40.4165,-3.70256,Spain,2008,
100,59.329323,17.107748,Sweden,2008,
195,46.94809,7.44744,Switzerland,2008,
5,33.513807,36.276528,Syrian Arab Rep.,2008,
53,13.756331,100.501765,Thailand,2008,
48,39.933365,32.859742,Türkiye,2008,
11964,38.89511,-77.036545,United States of America,2008,
0,10.480594,-66.903603,Venezuela,2008,
0,41.3275,19.818889,Albania,2009,
10,30.033333,31.233334,Egypt,2009,
539,-35.282,149.128684,Australia,2009,
866,48.20849,16.37208,Austria,2009,
0,50.85045,4.34878,Belgium,2009,
6,42.69751,23.32187,Bulgaria,2009,
5,11.562108,104.930313,Cambodia,2009,
2971,45.4215,-75.69812,Canada,2009,
134,35.166667,33.366667,Cyprus,2009,
10,50.08804,14.42076,Czechia,2009,
5,55.676111,12.568333,Denmark,2009,
72,-0.22985,-78.52495,Ecuador,2009,
8,60.16952,24.93545,Finland,2009,
0,48.85341,2.3488,France,2009,
0,51.507222,-0.1275,United Kingdom,2009,
595,52.52437,13.41053,Germany,2009,
0,37.984167,23.727778,Greece,2009,
32,47.49801,19.03991,Hungary,2009,
0,28.613889,77.208889,India,2009,
5,-6.174444,106.829444,Indonesia,2009,
48,53.333056,-6.267222,Ireland,2009,
0,41.89193,12.51133,Italy,2009,
18,35.689487,139.691706,Japan,2009,
20,51.169392,71.427776,Kazakhstan,2009,
10,42.874722,74.586667,Kyrgyzstan,2009,
21,37.566536,126.977969,South Korea,2009,
5,47.14152,9.52154,Liechtenstein,2009,
15,19.432608,-99.133208,Mexico,2009,
56,3.139003,101.686855,Malaysia,2009,
0,47.92123,106.9167,Mongolia,2009,
251,52.374031,4.88969,Netherlands,2009,
93,59.91273,10.74609,Norway,2009,
11,-41.288889,174.777222,New Zealand,2009,
5,33.68442,73.0479,Pakistan,2009,
5,14.599512,120.984222,Philippines,2009,
14,52.22977,21.01178,Poland,2009,
79,44.43281,26.10626,Romania,2009,
0,55.755826,37.6173,Russian Federation,2009,
5,24.713552,46.675296,Saudi Arabia,2009,
0,40.4165,-3.70256,Spain,2009,
0,48.148598,17.107748,Slovakia,2009,
90,59.329323,18.068581,Sweden,2009,
281,46.94809,7.44744,Switzerland,2009,
73,13.756331,100.501765,Thailand,2009,
51,39.933365,32.859742,Türkiye,2009,
11916,38.89511,-77.036545,United States of America,2009,
0,10.480594,-66.903603,Venezuela,2009,
0,41.3275,19.818889,Albania,2010,
11,30.033333,31.233334,Egypt,2010,
534,-35.282,149.128684,Australia,2010,
535,48.20849,16.37208,Austria,2010,
0,50.85045,4.34878,Belgium,2010,
5,-15.793889,-47.882778,Brazil,2010,
5,42.69751,23.32187,Bulgaria,2010,
2971,45.4215,-75.69812,Canada,2010,
49,35.166667,33.366667,Cyprus,2010,
6,50.08804,14.42076,Czechia,2010,
5,55.676111,12.568333,Denmark,2010,
49,-0.22985,-78.52495,Ecuador,2010,
7,60.16952,24.93545,Finland,2010,
0,48.85341,2.3488,France,2010,
0,51.507222,-0.1275,United Kingdom,2010,
547,52.52437,13.41053,Germany,2010,
108,37.984167,23.727778,Greece,2010,
26,47.49801,19.03991,Hungary,2010,
0,28.613889,77.208889,India,2010,
7,-6.174444,106.829444,Indonesia,2010,
94,53.333056,-6.267222,Ireland,2010,
11,41.89193,12.51133,Italy,2010,
17,35.689487,139.691706,Japan,2010,
40,51.169392,71.427776,Kazakhstan,2010,
9,42.874722,74.586667,Kyrgyzstan,2010,
15,37.566536,126.977969,South Korea,2010,
0,19.432608,-99.133208,Mexico,2010,
54,3.139003,101.686855,Malaysia,2010,
0,47.92123,106.9167,Mongolia,2010,
0,35.899722,14.514722,Malta,2010,
218,52.374031,4.88969,Netherlands,2010,
166,59.91273,10.74609,Norway,2010,
11,-41.288889,174.777222,New Zealand,2010,
5,33.68442,73.0479,Pakistan,2010,
6,14.599512,120.984222,Philippines,2010,
57,52.22977,21.01178,Poland,2010,
66,44.43281,26.10626,Romania,2010,
0,55.755826,37.6173,Russian Federation,2010,
5,24.713552,46.675296,Saudi Arabia,2010,
5,40.4165,-3.70256,Spain,2010,
0,48.148598,17.107748,Slovakia,2010,
91,59.329323,18.068581,Sweden,2010,
305,46.94809,7.44744,Switzerland,2010,
85,13.756331,100.501765,Thailand,2010,
43,39.933365,32.859742,Türkiye,2010,
0,50.4501,30.5234,Ukraine,2010,
6,-34.901113,-56.164532,Uruguay,2010,
1553,38.89511,-77.036545,United States of America,2010,
5,10.480594,-66.903603,Venezuela,2010,
0,41.3275,19.818889,Albania,2011,
8,30.033333,31.233334,Egypt,2011,
797,-35.282,149.128684,Australia,2011,
407,48.20849,16.37208,Austria,2011,
290,50.85045,4.34878,Belgium,2011,
5,-15.793889,-47.882778,Brazil,2011,
5,42.69751,23.32187,Bulgaria,2011,
3165,45.4215,-75.69812,Canada,2011,
23,35.166667,33.366667,Cyprus,2011,
0,50.08804,14.42076,Czechia,2011,
5,55.676111,12.568333,Denmark,2011,
0,-0.22985,-78.52495,Ecuador,2011,
21,60.16952,24.93545,Finland,2011,
0,48.85341,2.3488,France,2011,
760,51.507222,-0.1275,United Kingdom,2011,
494,52.52437,13.41053,Germany,2011,
0,37.984167,23.727778,Greece,2011,
0,47.49801,19.03991,Hungary,2011,
0,28.613889,77.208889,India,2011,
13,-6.174444,106.829444,Indonesia,2011,
77,53.333056,-6.267222,Ireland,2011,
0,41.89193,12.51133,Italy,2011,
9,35.689487,139.691706,Japan,2011,
8,51.169392,71.427776,Kazakhstan,2011,
9,42.874722,74.586667,Kyrgyzstan,2011,
12,37.566536,126.977969,South Korea,2011,
6,19.432608,-99.133208,Mexico,2011,
19,3.139003,101.686855,Malaysia,2011,
5,47.92123,106.9167,Mongolia,2011,
0,35.899722,14.514722,Malta,2011,
188,52.374031,4.88969,Netherlands,2011,
62,59.91273,10.74609,Norway,2011,
14,-41.288889,174.777222,New Zealand,2011,
5,33.68442,73.0479,Pakistan,2011,
5,52.22977,21.01178,Poland,2011,
65,44.43281,26.10626,Romania,2011,
649,-25.747868,28.229271,South Africa,2011,
0,55.755826,37.6173,Russian Federation,2011,
5,24.713552,46.675296,Saudi Arabia,2011,
0,40.4165,-3.70256,Spain,2011,
0,48.148598,17.107748,Slovakia,2011,
5,46.05108,14.505751,Slovenia,2011,
81,59.329323,18.068581,Sweden,2011,
560,46.94809,7.44744,Switzerland,2011,
101,13.756331,100.501765,Thailand,2011,
59,39.933365,32.859742,Türkiye,2011,
0,50.4501,30.5234,Ukraine,2011,
7,-34.901113,-56.164532,Uruguay,2011,
3426,38.89511,-77.036545,United States of America,2011,
5,10.480594,-66.903603,Venezuela,2011,
0,41.3275,19.818889,Albania,2012,
10,30.033333,31.233334,Egypt,2012,
997,-35.282,149.128684,Australia,2012,
353,48.20849,16.37208,Austria,2012,
361,50.85045,4.34878,Belgium,2012,
5,-15.793889,-47.882778,Brazil,2012,
3165,45.4215,-75.69812,Canada,2012,
0,35.166667,33.366667,Cyprus,2012,
6,50.08804,14.42076,Czechia,2012,
11,55.676111,12.568333,Denmark,2012,
0,-0.22985,-78.52495,Ecuador,2012,
16,60.16952,24.93545,Finland,2012,
526,48.85341,2.3488,France,2012,
793,51.507222,-0.1275,United Kingdom,2012,
526,52.52437,13.41053,Germany,2012,
0,37.984167,23.727778,Greece,2012,
0,47.49801,19.03991,Hungary,2012,
0,28.613889,77.208889,India,2012,
26,-6.174444,106.829444,Indonesia,2012,
82,53.333056,-6.267222,Ireland,2012,
17,41.89193,12.51133,Italy,2012,
17,35.689487,139.691706,Japan,2012,
7,51.169392,71.427776,Kazakhstan,2012,
6,42.874722,74.586667,Kyrgyzstan,2012,
0,37.566536,126.977969,South Korea,2012,
0,47.14152,9.52154,Liechtenstein,2012,
0,19.432608,-99.133208,Mexico,2012,
5,3.139003,101.686855,Malaysia,2012,
6,47.92123,106.9167,Mongolia,2012,
0,35.899722,14.514722,Malta,2012,
188,52.374031,4.88969,Netherlands,2012,
35,59.91273,10.74609,Norway,2012,
21,-41.288889,174.777222,New Zealand,2012,
5,33.68442,73.0479,Pakistan,2012,
5,52.22977,21.01178,Poland,2012,
0,44.43281,26.10626,Romania,2012,
1371,-25.747868,28.229271,South Africa,2012,
5,55.755826,37.6173,Russian Federation,2012,
5,24.713552,46.675296,Saudi Arabia,2012,
10,40.4165,-3.70256,Spain,2012,
0,48.148598,17.107748,Slovakia,2012,
38,59.329323,18.068581,Sweden,2012,
1236,46.94809,7.44744,Switzerland,2012,
55,13.756331,100.501765,Thailand,2012,
45,39.933365,32.859742,Türkiye,2012,
5403,38.89511,-77.036545,United States of America,2012,
5,10.480594,-66.903603,Venezuela,2012,
0,41.3275,19.818889,Albania,2013,
9,30.033333,31.233334,Egypt,2013,
1401,-35.282,149.128684,Australia,2013,
365,48.20849,16.37208,Austria,2013,
508,50.85045,4.34878,Belgium,2013,
0,-16.5,-68.119293,Bolivia,2013,
9,-15.793889,-47.882778,Brazil,2013,
2470,45.4215,-75.69812,Canada,2013,
0,35.166667,33.366667,Cyprus,2013,
5,50.08804,14.42076,Czechia,2013,
5,55.676111,12.568333,Denmark,2013,
0,-0.22985,-78.52495,Ecuador,2013,
5,60.16952,24.93545,Finland,2013,
1538,48.85341,2.3488,France,2013,
989,51.507222,-0.1275,United Kingdom,2013,
663,52.52437,13.41053,Germany,2013,
800,37.984167,23.727778,Greece,2013,
0,47.49801,19.03991,Hungary,2013,
0,28.613889,77.208889,India,2013,
18,-6.174444,106.829444,Indonesia,2013,
88,53.333056,-6.267222,Ireland,2013,
11,41.89193,12.51133,Italy,2013,
17,35.689487,139.691706,Japan,2013,
6,51.169392,71.427776,Kazakhstan,2013,
43,37.566536,126.977969,South Korea,2013,
0,47.14152,9.52154,Liechtenstein,2013,
0,19.432608,-99.133208,Mexico,2013,
7,3.139003,101.686855,Malaysia,2013,
0,47.92123,106.9167,Mongolia,2013,
0,35.899722,14.514722,Malta,2013,
0,52.374031,4.88969,Netherlands,2013,
22,59.91273,10.74609,Norway,2013,
11,-41.288889,174.777222,New Zealand,2013,
0,52.22977,21.01178,Poland,2013,
1556,-25.747868,28.229271,South Africa,2013,
0,55.755826,37.6173,Russian Federation,2013,
5,24.713552,46.675296,Saudi Arabia,2013,
10,40.4165,-3.70256,Spain,2013,
0,48.148598,17.107748,Slovakia,2013,
37,59.329323,18.068581,Sweden,2013,
1676,46.94809,7.44744,Switzerland,2013,
93,13.756331,100.501765,Thailand,2013,
29,39.933365,32.859742,Türkiye,2013,
0,50.4501,30.5234,Ukraine,2013,
12398,38.89511,-77.036545,United States of America,2013,
5,10.480594,-66.903603,Venezuela,2013,
0,41.3275,19.818889,Albania,2014,
9,30.033333,31.233334,Egypt,2014,
5,-34.611778,-58.417222,Argentina,2014,
2485,-35.282,149.128684,Australia,2014,
0,48.20849,16.37208,Austria,2014,
227,50.85045,4.34878,Belgium,2014,
5,25.03428,-77.39628,Bahamas,2014,
27,-15.793889,-47.882778,Brazil,2014,
680,45.4215,-75.69812,Canada,2014,
5,35.166667,33.366667,Cyprus,2014,
0,50.08804,14.42076,Czechia,2014,
10,55.676111,12.568333,Denmark,2014,
0,-0.22985,-78.52495,Ecuador,2014,
5,60.16952,24.93545,Finland,2014,
1270,48.85341,2.3488,France,2014,
1329,51.507222,-0.1275,United Kingdom,2014,
886,52.52437,13.41053,Germany,2014,
50,37.984167,23.727778,Greece,2014,
0,47.49801,19.03991,Hungary,2014,
0,28.613889,77.208889,India,2014,
15,-6.174444,106.829444,Indonesia,2014,
49,53.333056,-6.267222,Ireland,2014,
56,41.89193,12.51133,Italy,2014,
31,35.689487,139.691706,Japan,2014,
6,51.169392,71.427776,Kazakhstan,2014,
277,37.566536,126.977969,South Korea,2014,
5,47.14152,9.52154,Liechtenstein,2014,
0,49.61166,6.131935,Luxembourg,2014,
0,19.432608,-99.133208,Mexico,2014,
17,3.139003,101.686855,Malaysia,2014,
5,47.92123,106.9167,Mongolia,2014,
0,35.899722,14.514722,Malta,2014,
52,52.374031,4.88969,Netherlands,2014,
8,59.91273,10.74609,Norway,2014,
9,-41.288889,174.777222,New Zealand,2014,
5,52.22977,21.01178,Poland,2014,
22,44.43281,26.10626,Romania,2014,
1526,-25.747868,28.229271,South Africa,2014,
0,55.755826,37.6173,Russian Federation,2014,
5,24.713552,46.675296,Saudi Arabia,2014,
7,40.4165,-3.70256,Spain,2014,
0,48.148598,17.107748,Slovakia,2014,
67,59.329323,18.068581,Sweden,2014,
730,46.94809,7.44744,Switzerland,2014,
6,33.513807,36.276528,Syrian Arab Rep.,2014,
137,13.756331,100.501765,Thailand,2014,
60,39.933365,32.859742,Türkiye,2014,
5,50.4501,30.5234,Ukraine,2014,
37242,38.89511,-77.036545,United States of America,2014,
0,41.3275,19.818889,Albania,2015,
9,30.033333,31.233334,Egypt,2015,
2178,-35.282,149.128684,Australia,2015,
500,48.20849,16.37208,Austria,2015,
158,50.85045,4.34878,Belgium,2015,
5,25.03428,-77.39628,Bahamas,2015,
345,-15.793889,-47.882778,Brazil,2015,
1068,45.4215,-75.69812,Canada,2015,
10,35.166667,33.366667,Cyprus,2015,
36,50.08804,14.42076,Czechia,2015,
23,55.676111,12.568333,Denmark,2015,
0,-0.22985,-78.52495,Ecuador,2015,
12,60.16952,24.93545,Finland,2015,
1525,48.85341,2.3488,France,2015,
805,51.507222,-0.1275,United Kingdom,2015,
1273,52.52437,13.41053,Germany,2015,
75,37.984167,23.727778,Greece,2015,
0,47.49801,19.03991,Hungary,2015,
0,64.1355,-21.8952,Iceland,2015,
0,28.613889,77.208889,India,2015,
12,-6.174444,106.829444,Indonesia,2015,
39,53.333056,-6.267222,Ireland,2015,
310,41.89193,12.51133,Italy,2015,
175,35.689487,139.691706,Japan,2015,
6,51.169392,71.427776,Kazakhstan,2015,
469,37.566536,126.977969,South Korea,2015,
11,47.14152,9.52154,Liechtenstein,2015,
0,49.61166,6.131935,Luxembourg,2015,
0,19.432608,-99.133208,Mexico,2015,
5,3.139003,101.686855,Malaysia,2015,
0,47.92123,106.9167,Mongolia,2015,
0,35.899722,14.514722,Malta,2015,
67,52.374031,4.88969,Netherlands,2015,
28,59.91273,10.74609,Norway,2015,
10,-41.288889,174.777222,New Zealand,2015,
5,-12.04318,-77.02824,Peru,2015,
6,14.599512,120.984222,Philippines,2015,
0,52.22977,21.01178,Poland,2015,
74,38.71667,-9.13917,Portugal,2015,
14,44.43281,26.10626,Romania,2015,
2050,-25.747868,28.229271,South Africa,2015,
0,55.755826,37.6173,Russian Federation,2015,
5,24.713552,46.675296,Saudi Arabia,2015,
0,40.4165,-3.70256,Spain,2015,
0,48.148598,17.107748,Slovakia,2015,
100,59.329323,18.068581,Sweden,2015,
590,46.94809,7.44744,Switzerland,2015,
6,33.513807,36.276528,Syrian Arab Rep.,2015,
122,13.756331,100.501765,Thailand,2015,
62,39.933365,32.859742,Türkiye,2015,
5,50.4501,30.5234,Ukraine,2015,
45500,38.89511,-77.036545,United States of America,2015,
0,41.3275,19.818889,Albania,2016,
5,30.033333,31.233334,Egypt,2016,
35,-34.611778,-58.417222,Argentina,2016,
2981,-35.282,149.128684,Australia,2016,
536,48.20849,16.37208,Austria,2016,
149,50.85045,4.34878,Belgium,2016,
662,-15.793889,-47.882778,Brazil,2016,
13,42.69751,23.32187,Bulgaria,2016,
2110,45.4215,-75.69812,Canada,2016,
10,35.166667,33.366667,Cyprus,2016,
98,50.08804,14.42076,Czechia,2016,
11,55.676111,12.568333,Denmark,2016,
51,60.16952,24.93545,Finland,2016,
977,48.85341,2.3488,France,2016,
739,51.507222,-0.1275,United Kingdom,2016,
1673,52.52437,13.41053,Germany,2016,
187,37.984167,23.727778,Greece,2016,
5,47.49801,19.03991,Hungary,2016,
0,64.1355,-21.8952,Iceland,2016,
0,28.613889,77.208889,India,2016,
15,-6.174444,106.829444,Indonesia,2016,
16,53.333056,-6.267222,Ireland,2016,
21,31.768318,35.213711,Israel,2016,
878,41.89193,12.51133,Italy,2016,
28,35.689487,139.691706,Japan,2016,
6,51.169392,71.427776,Kazakhstan,2016,
765,37.566536,126.977969,South Korea,2016,
9,47.14152,9.52154,Liechtenstein,2016,
