tb_latitude,tb_longitude,collision_date,collision_time,month,primary_rd,secondary_rd,victim_gender,victim_age,victim_role,deaths,collision_summary
37.78488444,-122.4126387,5/23/24 12:37,12:37,May,ELLIS ST,JONES ST,Male,55,Pedestrian,1,"On May 23 at 12:37, the driver of a box truck was stopped at a red light at westbound Ellis St. The victim was walking northbound and proceeded to climb under the truck. When the Ellis St traffic signal became green, the driver proceeded and struck the victim, who succumbed to their injuries."
37.7351,-122.3874,5/30/24 10:27,10:27,May,Fairfax Ave and Newhall St,,Male,79,Bicyclist,1,"On May 30 at 10:27, a driver of a SFPUC pickup truck parked north of the intersection and opened the driver-side door. The victim was bicycling northbound and struck the open car door. The victim later succumbed to their injuries."
37.74129376,-122.4226683,6/10/24 03:41,03:41,June,MISSION ST,CORTLAND AVE,Male,41,Pedestrian,1,"On June 10 at 3:41, a driver of a vehicle was traveling northbound and struck the victim."
37.7966,-122.4233,6/15/24 11:36,11:36,June,Broadway and Van Ness Ave,,Male,37,Pedestrian,1,"On June 15 at 11:36, a driver was traveling westbound on Broadway and struck the victim, who was crossing northbound in the west side crosswalk against the solid red hand. The victim later succumbed to their injuries."
37.74408483,-122.3987569,6/17/24 21:30,21:30,June,TOLAND ST,JERROLD AVE,Female,43,Pedestrian,1,"On June 17 at 21:30, a driver of a tour bus was traveling eastbound, stopped at the STOP sign, made a left turn onto northbound Toland, and struck the victim, who was crossing westbound in the north side crosswalk."
37.77742608,-122.4038761,6/30/24 16:48,16:48,June,HARRISON ST,06TH ST,Male,29,Pedestrian,1,"On June 30 at 16:48, a driver of a minivan was speeding westbound when the victim ran northbound in front of the vehicle midblock. The victim later succumbed to their injuries."
37.7652,-122.4173,7/5/24 13:14,13:14,July,16th St and South Van Ness Ave,,Male,22,Motorcyclist,1,"On July 5 at 13:14, a driver of a vehicle was traveling northbound and struck the driver and passenger of a motorcycle, who were traveling southbound. The driver of the motorcycle later succumbed to their injuries. The driver of the vehicle fled the scene."
37.71919259,-122.4439543,7/11/24 00:40,00:40,July,GENEVA AVE,CAYUGA AVE,Male,23,Pedestrian,1,"On July 11 at 0:40, a driver was traveling westbound under the influence and struck the victim, who was previously sitting in the roadway."
37.7438,-122.4036,8/9/24 15:38,15:38,August,Driveway north of Bayshore Blvd and Helena St,,Male,66,Bicyclist,1,"On August 9 at 15:38, a driver of a pickup truck was making a southbound left turn into a parking lot and failed to yield to the victim, who was bicycling northbound and struck the rear of the pickup truck."
37.7332,-122.4347,8/15/24 14:39,14:39,August,Bosworth St and Diamond St,,Female,61,Pedestrian,1,"On August 15 at 14:39, a driver of a box truck was making an eastbound right turn and struck the victim, who was crossing eastbound in the southside crosswalk."
37.7802,-122.5107,9/3/24 16:39,16:39,September,Point Lobos Ave between El Camino Del Mar and Great Highway,,Male,56,Motorcyclist,1,"On September 3 at 16:39, the driver of a sedan was speeding northbound, lost control of the vehicle, struck trees and vehicles, and was ejected. The driver succumbed to his injuries."
37.8007,-122.4274,9/12/24 05:55,05:55,September,Lombard St and Laguna St,,Female,79,Pedestrian,1,"On September 12 at 5:55, the driver of a sedan was speeding northbound, lost control of the vehicle, struck trees and vehicles, and was ejected. The driver succumbed to his injuries."
37.799,-122.4264,9/21/24 23:32,23:32,September,Lombard St and Gough St,,Male,52,Pedestrian,1,"On September 21 at 23:32, a driver was traveling eastbound and struck the victim, who was crossing southbound in the west side crosswalk. The driver of the vehicle fled the scene."
